id	deck	tags	front	frontKo	firstLine	hintTitle	memoryTip	subjectTip	minimum	flow	answer	final_rep
week6-exercise-problem-01	OPIc 05_문제해결	week6|exercise|problem|topic_exercise|type_problem|full|latest_rep|practice	Tell me about a problem you had with exercising.	운동과 관련해 겪었던 문제와 해결 방법을 말해 주세요.	One day, I had a small problem with exercising.	바빠서 운동하지 못한 문제	운동하고 싶음 → 바쁨 → 피곤함 → 짧은 산책 → 기분 회복	운동하지 못한 이유와 대신 선택한 해결 방법을 말하기	"One day, I had a problem with exercising.
I was too busy.
So I took a short walk."	운동 계획 → 문제 원인 → 당시 상태 → 대체 행동 → 결과	"One day, I had a small problem with exercising.
I wanted to exercise, but I was too busy.
I felt tired after work.
So I took a short walk near my home.
After that, I felt much better."	false
week6-health-problem-01	OPIc 05_문제해결	week6|health|problem|topic_health|type_problem|full|latest_rep|practice	Tell me about a health problem you had.	겪었던 건강 문제와 해결 방법을 말해 주세요.	One day, I had a small health problem.	잠을 잘 못 잔 건강 문제	잠을 못 잠 → 다음 날 피곤 → 일찍 자기 → 상태 회복	건강 문제, 불편했던 점, 해결 행동과 결과를 말하기	"One day, I had a health problem.
I couldn't sleep well.
So I went to bed earlier."	문제 발생 → 다음 날 상태 → 해결 행동 → 결과	"One day, I had a small health problem.
I couldn't sleep well.
I felt tired the next day.
So I tried to go to bed earlier.
After that, I felt better."	false
week6-home-change-01	OPIc 06_변화질문	week6|home_time|change|topic_home_time|type_change|full|review|replaced_by_week11	How has your time at home changed over time?	집에서 보내는 시간이 어떻게 변했는지 말해 주세요.	In the past, I didn't spend much time at home.	집에서 보내는 시간 변화	예전에는 집에 적게 있음 → 지금은 방에서 쉼 → 편안함	과거와 현재의 집에서 보내는 시간과 행동을 비교하기	"In the past, I didn't spend much time at home.
But now, I relax in my room after work.
I like it more now."	과거 생활 → 현재 생활 → 현재 활동 → 효과 → 현재 선호	"In the past, I didn't spend much time at home.
But now, I spend more time in my room after work.
I watch YouTube or listen to music there.
It helps me relax.
So I like my time at home more now."	false
week6-health-change-01	OPIc 06_변화질문	week6|health|change|topic_health|type_change|full|review|replaced_by_week13	How have your health habits changed over time?	건강 습관이 어떻게 변했는지 말해 주세요.	In the past, I didn't care about my health much.	건강 습관의 초기 변화	예전에는 무관심 → 지금은 물·산책·수면 → 컨디션 향상	과거의 습관과 현재의 구체적인 건강 습관을 비교하기	"In the past, I didn't care about my health.
But now, I drink water and take walks.
I want to keep these habits."	과거 상태 → 현재 습관 → 추가 습관 → 효과 → 계획	"In the past, I didn't care about my health much.
But now, I drink water and take a walk more often.
I also try to sleep well.
These habits make me feel better.
So I want to keep them."	false
week6-walking-change-01	OPIc 06_변화질문	week6|walking|change|topic_walking|type_change|full|latest_rep|practice	How has your exercise habit changed over time?	운동 습관이 어떻게 변했는지 말해 주세요.	In the past, I didn't exercise much.	산책으로 바뀐 운동 습관	예전에는 운동 안 함 → 지금은 산책 → 스트레스 해소	과거와 현재 운동 습관, 현재 활동의 장점을 말하기	"In the past, I didn't exercise much.
But now, I sometimes take a walk.
It helps me relieve stress."	과거 운동 습관 → 현재 산책 → 장소 → 효과 → 선호	"In the past, I didn't exercise much.
But now, I sometimes take a walk.
I usually walk near my home.
It helps me relieve stress.
So I like walking more now."	false
week7-bank-visit-01	OPIc 03_주제별답변	week7|bank|routine|topic_bank|type_routine|full|latest_rep|practice	Do you often go to the bank? Tell me about a bank you use.	은행에 얼마나 자주 가는지와 이용하는 은행을 말해 주세요.	Actually, I don't go to the bank very often.	집 근처 은행 이용	은행 자주 안 감 → 집 근처 → ATM → 직원 도움 → 편리함	은행 방문 빈도와 그곳에서 하는 일을 함께 말하기	"Actually, I don't go to the bank very often.
There is a bank near my home.
I usually use the ATM there."	방문 빈도 → 은행 위치와 분위기 → 하는 일 → 도움 → 편리함	"Actually, I don't go to the bank very often.
There is a bank near my home.
It is not very big, but it is clean and quiet.
I usually use the ATM there.
Sometimes, I ask the staff for help.
The bank is close to my home, so it is convenient.
I don't go there often, but it is useful when I need it."	false
week7-clinic-experience-01	OPIc 03_주제별답변	week7|clinic|experience|topic_clinic|type_experience|full|latest_rep|core|final_rep|priority_b	Tell me about the last time you went to a hospital or clinic. What happened?	마지막으로 병원에 갔던 경험과 무슨 일이 있었는지 말해 주세요.	Recently, I went to a clinic because I had a cold.	감기로 병원에 간 경험	감기 → 증상 → 병원 → 의사 → 약국 → 휴식 → 회복	병원에 간 이유, 진료 과정과 이후 결과를 말하기	"Recently, I went to a clinic because I had a cold.
The doctor checked me.
A few days later, I felt better."	증상과 이유 → 병원 → 의사 진료 → 약 → 휴식 → 회복	"Recently, I went to a clinic because I had a cold.
I had a sore throat and felt very tired.
The clinic was near my home.
The doctor was kind and checked me carefully.
After that, I went to a pharmacy and got some medicine.
I went home and got some rest.
A few days later, I felt much better."	true
week7-pharmacy-description-01	OPIc 03_주제별답변	week7|pharmacy|description|topic_pharmacy|type_description|full|latest_rep|practice	Tell me about a pharmacy near your home. What do you usually buy there?	집 근처 약국과 그곳에서 주로 사는 것을 말해 주세요.	There is a pharmacy near my home.	집 근처 편리한 약국	약국 위치 → 분위기 → 약·비타민 → 약사 → 편리함	약국의 위치와 특징, 주로 사는 물건을 함께 말하기	"There is a pharmacy near my home.
I buy medicine there.
It is very useful."	약국 소개 → 특징 → 방문 시점 → 구입 물품 → 약사 → 편리함	"There is a pharmacy near my home.
It is small but clean.
I usually go there when I need medicine.
Sometimes, I buy cold medicine or vitamins.
The pharmacist is kind and helpful.
The pharmacist explains things clearly when I have a question.
It is close to my home, so it is very useful."	false
week7-season-favorite-01	OPIc 03_주제별답변	week7|season|preference|topic_season|type_preference|full|latest_rep|core|final_rep|priority_b	What is your favorite season? Why do you like it?	가장 좋아하는 계절과 좋아하는 이유를 말해 주세요.	My favorite season is spring.	산책하기 좋은 봄	봄 → 따뜻한 날씨 → 산책 → 꽃 → 친구와 경험 → 느낌	좋아하는 계절, 날씨 특징과 그 계절에 하는 일을 말하기	"My favorite season is spring.
The weather is warm and nice.
I like taking a walk in spring."	계절 소개 → 날씨 → 활동 → 꽃 → 최근 경험 → 느낌	"My favorite season is spring.
The weather is warm and nice.
It is not too hot or too cold.
I like taking a walk near my home in spring.
Sometimes, I can see beautiful flowers.
Last spring, I took a walk in the park with my friend.
We talked a lot, and I had a good time.
So I really like spring."	true
week7-rainy-day-routine-01	OPIc 03_주제별답변	week7|rainy_day|routine|topic_rainy_day|type_routine|full|latest_rep|practice	What do you usually do on rainy days?	비 오는 날에 보통 무엇을 하는지 말해 주세요.	On rainy days, I usually stay at home.	비 오는 날 집에서 쉬기	집에 있음 → 유튜브 → 음악 → 뜨거운 음식 → 휴식	비 오는 날 하는 행동을 두 가지 이상 말하고 느낌을 설명하기	"On rainy days, I usually stay at home.
I watch YouTube in my room.
It helps me relax."	날씨 상황 → 집에 있는 이유 → 하는 일 → 음식 → 느낌	"On rainy days, I usually stay at home.
I don't like going outside when it rains.
I usually watch YouTube in my room.
Sometimes, I listen to music.
I also like eating hot food on rainy days.
These simple things help me relax.
So rainy days are not too bad for me."	false
week7-weather-problem-01	OPIc 05_문제해결	week7|weather|problem|topic_weather|type_problem|full|latest_rep|practice	Tell me about a problem you had because of the weather. What happened, and how did you solve it?	날씨 때문에 생긴 문제와 해결 과정을 말해 주세요.	One day, I had a problem because of heavy rain.	폭우 때문에 약속에 늦은 문제	폭우 → 약속 → 늦음 → 연락 → 이해 → 만남 → 교훈	날씨가 만든 문제, 연락한 행동과 결과 및 배운 점을 말하기	"One day, I had a problem because of heavy rain.
I was late for an appointment.
So I called my friend."	문제 원인 → 약속 → 지각 → 걱정 → 연락 → 결과 → 교훈	"One day, I had a problem because of heavy rain.
I had an appointment with my friend.
The rain was very heavy, so I was late.
I was worried because my friend was waiting for me.
So I called my friend right away.
My friend understood me and said it was okay.
Finally, I met my friend and felt relieved.
After that, I started checking the weather before going out."	false
week7-phone-habit-01	OPIc 03_주제별답변	week7|phone|routine|topic_phone|type_routine|full|latest_rep|practice	How do you usually use your phone? What do you use it for?	휴대폰을 보통 어떻게 사용하고 무엇에 쓰는지 말해 주세요.	Actually, I use my phone every day.	매일 사용하는 휴대폰	매일 사용 → 메시지 → 유튜브 → 음악 → 정보 검색 → 편리함	휴대폰으로 하는 일을 두 가지 이상 말하고 유용한 이유를 설명하기	"Actually, I use my phone every day.
I check messages and watch YouTube.
It makes my life easier."	사용 빈도 → 주요 기능 → 추가 기능 → 사용 시간 → 장점	"Actually, I use my phone every day.
I use it for many things.
I usually check messages and watch YouTube.
Sometimes, I listen to music on my phone.
After work, I often use it in my room.
I can also search for information anytime.
It makes my daily life much easier."	false
week7-internet-habit-01	OPIc 03_주제별답변	week7|internet|routine|topic_internet|type_routine|full|latest_rep|practice	What do you usually do on the internet? How often do you use it?	인터넷을 얼마나 자주 사용하고 무엇을 하는지 말해 주세요.	I use the internet almost every day.	정보를 찾는 인터넷 사용 습관	거의 매일 → 정보 검색 → 유튜브 → 식당·상품 → 편리함	인터넷 사용 빈도, 구체적인 활동과 장점을 말하기	"I use the internet almost every day.
I search for information online.
It is very convenient."	사용 빈도 → 정보 검색 → 영상 → 추가 검색 → 사용 시간 → 장점	"I use the internet almost every day.
I usually search for information online.
I also watch YouTube videos.
Sometimes, I look for good restaurants or useful products.
I usually use the internet at home after work.
I can find information quickly, so it is convenient.
It also helps me learn new things."	false
week7-phone-problem-01	OPIc 05_문제해결	week7|phone|problem|topic_phone|type_problem|full|battery|latest_rep|core|final_rep|priority_b	Tell me about a problem you had with your phone. What happened, and how did you solve it?	휴대폰과 관련된 문제와 해결 과정을 말해 주세요.	One day, I had a problem with my phone at work.	직장에서 생긴 배터리 문제	배터리 부족 → 연락 필요 → 동료에게 요청 → 충전 → 교훈	문제 원인, 도움을 요청한 대상, 해결 결과와 이후 습관을 말하기	"One day, I had a problem with my phone.
My battery was almost dead.
I borrowed a charger."	문제 장소 → 배터리 상태 → 걱정 → 도움 요청 → 해결 → 교훈	"One day, I had a problem with my phone at work.
My phone battery was almost dead.
I was worried because I needed to contact my friend.
So I asked my coworker for a charger.
My coworker was kind and helped me.
Finally, I charged my phone and called my friend.
I felt relieved because I solved the problem.
After that, I started carrying a charger in my bag."	true
week8-restaurant-reservation-01	OPIc 04_롤플레이	week8|restaurant|roleplay_reservation|topic_restaurant|type_roleplay_reservation|full|roleplay|reservation|latest_rep|core|final_rep|priority_a	You want to make a reservation at a restaurant. Call the restaurant and ask three or four questions.	식당에 전화해 예약에 필요한 질문을 세네 개 해 주세요.	Hello, I'd like to make a reservation.	식당 예약 문의	두 명 자리 → 가능한 시간 → 창가 자리 → 7시 예약 → 감사	인원, 날짜, 시간과 좌석을 질문하고 실제 예약 요청까지 하기	"Hello, I'd like to make a reservation.
Do you have a table for two this Saturday?
I'd like to reserve it for 7 p.m."	인사 → 인원·날짜 → 시간 → 좌석 → 예약 요청 → 감사	"Hello, I'd like to make a reservation.
First, do you have a table for two this Saturday?
Second, what times are available?
Third, do you have a table by the window?
I'd like to reserve a table for 7 p.m.
Is that possible?
Thank you for your help."	true
week8-cafe-inquiry-01	OPIc 04_롤플레이	week8|cafe|roleplay_inquiry|topic_cafe|type_roleplay_inquiry|full|roleplay|inquiry|latest_rep|practice	You want to visit a cafe. Call the cafe and ask three or four questions.	카페에 전화해 방문 전에 필요한 질문을 세네 개 해 주세요.	Hello, I have a few questions about your cafe.	카페 영업·시설 문의	영업시간 → 아이스커피 → 와이파이 → 노트북 → 감사	영업시간과 메뉴, 와이파이 및 노트북 사용 여부를 질문하기	"Hello, I have a few questions about your cafe.
What time do you open?
Is there free Wi-Fi?"	인사 → 영업시간 → 음료 → 와이파이 → 노트북 사용 → 감사	"Hello, I have a few questions about your cafe.
First, what time do you open?
Second, do you have iced coffee?
Third, is there free Wi-Fi?
Can I use my laptop there?
Thank you for your help."	false
week8-hotel-inquiry-01	OPIc 04_롤플레이	week8|hotel|roleplay_inquiry|topic_hotel|type_roleplay_inquiry|full|roleplay|inquiry|latest_rep|core|final_rep|priority_b	You are planning to stay at a hotel. Call the hotel and ask three or four questions.	호텔에 전화해 숙박 전에 필요한 질문을 세네 개 해 주세요.	Hello, I have a few questions about your hotel.	호텔 객실·서비스 문의	두 명 방 → 1박 가격 → 조식 → 이른 체크인 → 감사	객실 가능 여부, 가격, 조식과 체크인 시간을 질문하기	"Hello, I have a few questions about your hotel.
Do you have a room for two?
Is breakfast included?"	인사 → 객실 → 가격 → 조식 → 이른 체크인 → 감사	"Hello, I have a few questions about your hotel.
First, do you have a room for two this Saturday?
Second, how much is it per night?
Third, is breakfast included?
Can I check in early?
Thank you for your help."	true
week8-restaurant-reservation-change-01	OPIc 04_롤플레이	week8|restaurant|roleplay_change|topic_restaurant|type_roleplay_change|full|roleplay|reservation|change|latest_rep|core|final_rep|priority_a	You have a restaurant reservation at 7 p.m., but you cannot get there on time. Call the restaurant, explain the problem, and suggest alternatives.	식당 예약 시간에 맞춰 갈 수 없습니다. 문제를 설명하고 다른 시간을 제안해 주세요.	Hello, I'm calling about my reservation this Saturday.	식당 예약 시간 변경	예약 확인 → 야근 → 8시 요청 → 일요일 대안 → 감사	원래 시간, 변경 이유, 첫 번째 요청과 두 번째 대안을 말하기	"Hello, I'm calling about my reservation this Saturday.
I can't get there by 7 p.m.
Can I change it to 8 p.m.?"	예약 확인 → 문제 → 새 시간 → 자리 확인 → 두 번째 대안 → 감사	"Hello, I'm calling about my reservation this Saturday.
I'm sorry, but I have a problem.
I can't get there by 7 p.m. because I have to work late.
Can I change the reservation to 8 p.m.?
Do you have a table available at that time?
If 8 p.m. is not available, can I change it to Sunday at 7 p.m.?
Is that possible?
Thank you for your help."	true
week8-hotel-room-problem-01	OPIc 04_롤플레이	week8|hotel|roleplay_problem|topic_hotel|type_roleplay_problem|full|roleplay|room|problem|latest_rep|core|final_rep|priority_a	The air conditioner in your hotel room is not working. Call the front desk, explain the problem, and ask for solutions.	호텔 객실 에어컨이 작동하지 않습니다. 프런트에 문제를 설명하고 해결책을 요청해 주세요.	Hello, I'm calling from room 305.	호텔 에어컨 문제 해결	객실 번호 → 고장 → 점검 요청 → 시간 → 방 변경 → 감사	문제를 설명하고 수리 요청과 객실 변경 대안을 모두 말하기	"Hello, I'm calling from room 305.
The air conditioner is not working.
Can someone check it, please?"	객실 소개 → 문제 → 불편함 → 점검 → 소요 시간 → 변경 대안	"Hello, I'm calling from room 305.
I'm sorry, but I have a problem with the air conditioner.
It is not working, and the room is very hot.
Can someone come and check it, please?
How long will it take?
If you can't fix it soon, can I change rooms?
Is another room available?
Thank you for your help."	true
week8-friend-meeting-change-01	OPIc 04_롤플레이	week8|friend_meeting|roleplay_change|topic_friend_meeting|type_roleplay_change|full|roleplay|friend|change|latest_rep|practice	You cannot meet your friend at the agreed time. Call your friend, explain the problem, and suggest another time.	약속한 시간에 친구를 만날 수 없습니다. 이유를 설명하고 다른 시간을 제안해 주세요.	Hi, this is Hyemin.	친구와 약속 시간 변경	인사 → 야근 → 2시에 못 만남 → 4시 제안 → 내일 대안	만날 수 없는 이유, 새 시간과 두 번째 대안을 말하기	"Hi, this is Hyemin.
I can't meet you at 2 p.m.
Can we meet at 4 p.m. instead?"	인사 → 문제 → 원래 시간 → 새 시간 → 다른 날짜 → 사과	"Hi, this is Hyemin.
I'm sorry, but I have a problem today.
I can't meet you at 2 p.m. because I have to work late.
Can we meet at 4 p.m. instead?
If 4 p.m. is not good for you, how about tomorrow?
Please call me back when you have time.
I'm really sorry, and I'll talk to you later."	false
week9-hobby-description-01	OPIc 03_주제별답변	week9|hobby|description|topic_hobby|type_description|full|review|replaced_by_week13	What do you like to do in your free time? Why do you enjoy it?	여가 시간에 무엇을 하는지와 좋아하는 이유를 말해 주세요.	Actually, I like watching YouTube in my free time.	퇴근 후 즐기는 유튜브	취미 → 거의 매일 → 영상 종류 → 퇴근 후 → 긴장 해소	평소 무엇을 하는지, 언제 하는지와 좋아하는 이유를 말하기	"Actually, I like watching YouTube in my free time.
I usually watch it after work.
It helps me relax."	취미 소개 → 빈도 → 영상 → 시간과 장소 → 이유 → 마무리	"Actually, I like watching YouTube in my free time.
These days, I watch it almost every day.
I usually watch funny videos or music videos in my room after work.
They are easy to watch, and they help me relax.
I can choose from many different videos, so I never get bored.
It helps me forget about work for a while.
So watching YouTube is my favorite way to spend my free time."	false
week9-hobby-experience-01	OPIc 03_주제별답변	week9|hobby|experience|topic_hobby|type_experience|full|latest_rep|core|final_rep|priority_a	Tell me about the last time you did your hobby. What did you do, and how did you feel?	마지막으로 취미 활동을 했던 때의 행동과 느낌을 말해 주세요.	Last Sunday evening, I watched YouTube in my room.	지난 일요일의 유튜브 경험	지난 일요일 → 피곤함 → 웃긴 영상 → 간식 → 웃음 → 회복	언제 무엇을 했는지와 경험 후의 감정을 구체적으로 말하기	"Last Sunday evening, I watched YouTube in my room.
I watched funny videos.
After that, I felt much better."	시간과 장소 → 당시 상태 → 영상 → 간식 → 기억나는 순간 → 감정	"Last Sunday evening, I watched YouTube in my room.
I was tired, so I wanted to relax.
I watched funny videos for about an hour.
I also ate some snacks while watching them.
One video was really funny, and I laughed a lot.
After that, I felt less tired and much better.
It was a simple evening, but I really enjoyed it."	true
week9-hobby-change-01	OPIc 06_변화질문	week9|hobby|change|topic_hobby|type_change|full|review|replaced_by_week13	How has your hobby changed over time? What is different now?	취미가 과거와 비교해 어떻게 변했는지 말해 주세요.	In the past, I watched TV a lot.	TV에서 유튜브로 바뀐 취미	예전 TV → 지금 유튜브 → 원하는 영상 → 짧은 영상 → 편리함	과거와 현재의 취미, 달라진 점과 지금이 좋은 이유를 말하기	"In the past, I watched TV a lot.
But now, I watch YouTube more often.
So I enjoy it more now."	과거 취미 → 과거 방식 → 현재 취미 → 장점 → 현재 평가	"In the past, I watched TV a lot.
I usually watched whatever was on at that time.
But now, I watch YouTube more often.
I can choose what I want to watch anytime.
I can also watch short videos when I don't have much time.
That is very convenient because I am often tired after work.
So my hobby is a little different now, and I enjoy it more."	false
week9-cafe-description-01	OPIc 03_주제별답변	week9|cafe|description|topic_cafe|type_description|full|review|replaced_by_week13	Tell me about a cafe you like. What do you usually do there?	좋아하는 카페의 모습과 그곳에서 하는 일을 말해 주세요.	I often go to a cafe near my home.	집 근처 좋아하는 카페	위치 → 분위기 → 방문 시간 → 친구·혼자 행동 → 휴식	카페 특징, 방문 시간, 하는 일과 좋아하는 이유를 말하기	"I often go to a cafe near my home.
I drink coffee and talk with my friends.
It helps me relax."	위치 → 분위기 → 방문 시간 → 친구와 행동 → 혼자 행동 → 장점	"I often go to a cafe near my home.
The cafe is small, but it is clean and cozy.
I usually go there after work or on weekends.
When I go with my friends, we drink coffee and talk about daily life.
Sometimes, I go there alone and watch YouTube on my phone.
The best thing is that it is close to my home.
It helps me relax after a long day.
So it is one of my favorite places."	false
week10-friend-memorable-01	OPIc 03_주제별답변	week10|friend|memorable_experience|topic_friend|type_memorable_experience|full|latest_rep|core|final_rep|priority_a	Tell me about a memorable experience you had with a friend. What happened, and why was it memorable?	친구와 있었던 기억에 남는 경험과 그 이유를 말해 주세요.	One memorable experience was meeting my friend at a cafe.	친구와 나눈 기억에 남는 대화	친구와 카페 → 커피 → 솔직한 대화 → 경청 → 스트레스 감소	함께 한 행동과 왜 기억에 남는지 모두 말하기	"One memorable experience was meeting my friend at a cafe.
We talked a lot.
After that, I felt much better."	친구와 카페 → 시간과 장소 → 대화 → 기억나는 순간 → 감정	"One memorable experience was meeting my friend at a cafe.
It was last Saturday, and the cafe was near my home.
We ordered coffee and talked about work and daily life.
My friend listened to me carefully, so I felt comfortable.
The best part was that we could talk honestly for a long time.
After the conversation, I felt less stressed and much better.
That is why the day is still memorable to me."	true
